Brisbane,612 ABC Brisbane,http://www.abc.net.au/brisbane/,1300 222 612
Rockhampton,ABC Capricornia,http://www.abc.net.au/capricornia/,1300 837 222
Cairns,ABC Far North,http://www.abc.net.au/farnorth/,1300 801 222
Gold Coast,91.7 ABC Gold Coast,http://www.abc.net.au/goldcoast/,1300 903 917
Townsville,630 ABC North Queensland,http://www.abc.net.au/northqld/,1300 630 222
Mount Isa,ABC North West Queensland,http://www.abc.net.au/northwest/,1300 221 065
Toowoomba,ABC Southern Queensland,http://www.abc.net.au/southqld/,1300 747 222
Maroochydore,90.3 ABC Sunshine Coast,http://www.abc.net.au/sunshine/,1300 903 222
Mackay,ABC Tropical North,http://www.abc.net.au/tropic/,1300 101 222
Longreach,ABC Western Queensland,http://www.abc.net.au/westqld/,1300 540 222
Bundaberg,ABC Wide Bay,http://www.abc.net.au/widebay/,1300 221 001
Alice Springs,783 ABC Alice Springs,http://www.abc.net.au/alicesprings/,1300 019 783
Darwin,105.7 ABC Darwin,http://www.abc.net.au/darwin/,1300 057 222
Katherine,ABC Katherine,http://www.abc.net.au/katherine/,1300 057 222
Broken Hill,999 ABC Broken Hill,http://www.abc.net.au/brokenhill/,(08) 8082 4000
Gosford,92.5 ABC Central Coast,http://www.abc.net.au/centralcoast/,1300 925 222
Orange,ABC Central West,http://www.abc.net.au/centralwest/,1300 549 222
Coffs Harbour,ABC Coffs Coast,http://www.abc.net.au/coffscoast/,1300 222 923
Wollongong,97.3 ABC Illawarra,http://www.abc.net.au/illawarra/,1300 973 300
Port Macquarie,ABC Mid North Coast,http://www.abc.net.au/midnorthcoast/,1300 662 279
Newcastle,1233 ABC Newcastle,http://www.abc.net.au/newcastle/,1300 331 233
Tamworth,ABC New England North West,http://www.abc.net.au/newengland/,1300 648 222
Lismore,ABC North Coast,http://www.abc.net.au/northcoast/,1300 659 994
Wagga Wagga,ABC Riverina,http://www.abc.net.au/riverina/,1300 22 1027
Bega,ABC South East,http://www.abc.net.au/southeastnsw/,1300 810 222
Sydney,702 ABC Sydney,http://www.abc.net.au/sydney/,1300 222 702
Muswellbrook,ABC Upper Hunter,http://www.abc.net.au/upperhunter/,1300 331 233
Dubbo,ABC Western Plains,http://www.abc.net.au/westernplains/,1300 22 1071
Hobart,936 ABC Hobart,http://www.abc.net.au/hobart/,1300 222 936
Launceston,ABC Northern Tasmania,http://www.abc.net.au/northtas/,1300 361 688
Ballarat,107.9 ABC Ballarat,http://www.abc.net.au/ballarat/,1300 303 468
Bendigo,ABC Central Victoria,http://www.abc.net.au/centralvic/,1300 813 911
Sale,ABC Gippsland,http://www.abc.net.au/gippsland/,1300 295 222
Wodonga,ABC Goulburn Murray,http://www.abc.net.au/goulburnmurray/,1300 147 222
Melbourne,774 ABC Melbourne,http://www.abc.net.au/melbourne/,1300 222 774
Mildura,ABC Mildura - Swan Hill,http://www.abc.net.au/milduraswanhill/,1300 043 222
Shepparton,97.7 ABC Goulburn Murray,http://www.abc.net.au/shepparton/,1300 977 222
Warrnambool,ABC South West Victoria,http://www.abc.net.au/southwestvic/,1300 001 602
Horsham,ABC Western Victoria,http://www.abc.net.au/westernvic/,1300 594 222
Esperance,ABC Goldfields-Esperance,http://www.abc.net.au/esperance/,1300 633 837
Kalgoorlie-Boulder,ABC Goldfields-Esperance,http://www.abc.net.au/goldfields/,1300 525 222
Albany,ABC Great Southern,http://www.abc.net.au/greatsouthern/,1300 560 222
Broome,ABC Kimberley,http://www.abc.net.au/kimberley/,1300 242 675
Karratha,ABC North West WA,http://www.abc.net.au/northwestwa/,1300 510 222
Perth,720 ABC Perth,http://www.abc.net.au/perth/,1300 222 720
Bunbury,ABC South West WA,http://www.abc.net.au/southwestwa/,1300 545 222
Geraldton,ABC Mid West and Wheatbelt,http://www.abc.net.au/wheatbelt/,1300 501 222
Adelaide,891 ABC Adelaide,http://www.abc.net.au/adelaide/,1300 222 891
Port Lincoln,1485 ABC Eyre Peninsula & West Coast ,http://www.abc.net.au/eyre/,(08) 8683 2600
Port Pirie,639 ABC North and West ,http://www.abc.net.au/northandwest/,1300 160 222
Renmark,1062 ABC Riverland,http://www.abc.net.au/riverland/,(08) 8586 1300
Mt Gambier,1161 ABC South East,http://www.abc.net.au/southeastsa/,08 8724 1000
